Title,Author,Avg Rating,Genres,Description,Tokens,Lemmas,Parts of Speech
Yellowface,R.F. Kuang (Goodreads Author),"3.85 avg rating — 292,007 ratings","Fiction, Contemporary, Audiobook, Literary Fiction, Thriller","Athena Liu is a literary darling and June Hayward is literally nobody.White liesWhen Athena dies in a freak accident, June steals her unpublished manuscript and publishes it as her own under the ambiguous name Juniper Song.Dark humourBut as evidence threatens June’s stolen success, she will discover exactly how far she will go to keep what she thinks she deserves.Deadly consequences…What happens next is entirely everyone else’s fault.With its totally immersive first-person voice, Yellowface grapples with questions of diversity, racism, and cultural appropriation, as well as the terrifying alienation of social media. R.F. Kuang’s novel is timely, razor-sharp, and eminently readable.Alternate cover edition of ISBN 9780063250833.","Yellowface, ., Athena, Liu, is, a, literary, darling, and, June, Hayward, is, literally, nobody, ., White, liesWhen, Athena, dies, in, a, freak, accident, ,, June, steals, her, unpublished, manuscript, and, publishes, it, as, her, own, under, the, ambiguous, name, Juniper, Song, ., Dark, humourBut, as, evidence, threatens, June, ’s, stolen, success, ,, she, will, discover, exactly, how, far, she, will, go, to, keep, what, she, thinks, she, deserves, ., Deadly, consequences, …, What, happens, next, is, entirely, everyone, else, ’s, fault, ., With, its, totally, immersive, first, -, person, voice, ,, Yellowface, grapples, with, questions, of, diversity, ,, racism, ,, and, cultural, appropriation, ,, as, well, as, the, terrifying, alienation, of, social, media, ., R.F., Kuang, ’s, novel, is, timely, ,, razor, -, sharp, ,, and, eminently, readable, ., Alternate, cover, edition, of, ISBN, 9780063250833, .","yellowface, ., Athena, Liu, be, a, literary, darling, and, June, Hayward, be, literally, nobody, ., White, lieswhen, Athena, die, in, a, freak, accident, ,, June, steal, her, unpublished, manuscript, and, publish, it, as, her, own, under, the, ambiguous, name, Juniper, Song, ., Dark, humourbut, as, evidence, threaten, June, ’s, steal, success, ,, she, will, discover, exactly, how, far, she, will, go, to, keep, what, she, think, she, deserve, ., deadly, consequence, …, what, happen, next, be, entirely, everyone, else, ’s, fault, ., with, its, totally, immersive, first, -, person, voice, ,, Yellowface, grapple, with, question, of, diversity, ,, racism, ,, and, cultural, appropriation, ,, as, well, as, the, terrifying, alienation, of, social, medium, ., R.F., Kuang, ’s, novel, be, timely, ,, razor, -, sharp, ,, and, eminently, readable, ., alternate, cover, edition, of, ISBN, 9780063250833, .","NOUN, PUNCT, PROPN, PROPN, AUX, DET, ADJ, NOUN, CCONJ, PROPN, PROPN, AUX, ADV, PRON, PUNCT, PROPN, INTJ, PROPN, VERB, ADP, DET, NOUN, NOUN, PUNCT, PROPN, VERB, PRON, ADJ, NOUN, CCONJ, VERB, PRON, ADP, PRON, ADJ, ADP, DET, ADJ, NOUN, PROPN, PROPN, PUNCT, PROPN, NOUN, SCONJ, NOUN, VERB, PROPN, PART, VERB, NOUN, PUNCT, PRON, AUX, VERB, ADV, SCONJ, ADV, PRON, AUX, VERB, PART, VERB, PRON, PRON, VERB, PRON, VERB, PUNCT, ADJ, NOUN, PUNCT, PRON, VERB, ADV, AUX, ADV, PRON, ADV, PART, NOUN, PUNCT, ADP, PRON, ADV, ADJ, ADJ, PUNCT, NOUN, NOUN, PUNCT, PROPN, VERB, ADP, NOUN, ADP, NOUN, PUNCT, NOUN, PUNCT, CCONJ, ADJ, NOUN, PUNCT, ADV, ADV, ADP, DET, ADJ, NOUN, ADP, ADJ, NOUN, PUNCT, PROPN, PROPN, PART, NOUN, AUX, ADJ, PUNCT, NOUN, PUNCT, ADJ, PUNCT, CCONJ, ADV, ADJ, PUNCT, ADJ, NOUN, NOUN, ADP, PROPN, NUM, PUNCT"
Tom Lake,Ann Patchett,"4.12 avg rating — 150,447 ratings","Fiction, Audiobook, Literary Fiction, Historical Fiction, Romance","This is a story about Peter Duke who went on to be a famous actor.This is a story about falling in love with Peter Duke who wasn't famous at all.It's about falling so wildly in love with him – the way one will at twenty-four – that it felt like jumping off a roof at midnight.There was no way to foresee the mess it would come to in the end.It's spring and Lara's three grown daughters have returned to the family orchard. While picking cherries, they beg their mother to tell them the one story they've always longed to hear – of the film star with whom she shared a stage, and a romance, years before.Tom Lake is a meditation on youthful love, married love, and the lives parents have led before their children were born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart.","Tom, Lake, ., This, is, a, story, about, Peter, Duke, who, went, on, to, be, a, famous, actor, ., This, is, a, story, about, falling, in, love, with, Peter, Duke, who, was, n't, famous, at, all, ., It, 's, about, falling, so, wildly, in, love, with, him, –, the, way, one, will, at, twenty, -, four, –, that, it, felt, like, jumping, off, a, roof, at, midnight, ., There, was, no, way, to, foresee, the, mess, it, would, come, to, in, the, end, ., It, 's, spring, and, Lara, 's, three, grown, daughters, have, returned, to, the, family, orchard, ., While, picking, cherries, ,, they, beg, their, mother, to, tell, them, the, one, story, they, 've, always, longed, to, hear, –, of, the, film, star, with, whom, she, shared, a, stage, ,, and, a, romance, ,, years, before, ., Tom, Lake, is, a, meditation, on, youthful, love, ,, married, love, ,, and, the, lives, parents, have, led, before, their, children, were, born, ., Both, hopeful, and, elegiac, ,, it, explores, what, it, means, to, be, happy, even, when, the, world, is, falling, apart, .","Tom, Lake, ., this, be, a, story, about, Peter, Duke, who, go, on, to, be, a, famous, actor, ., this, be, a, story, about, fall, in, love, with, Peter, Duke, who, be, not, famous, at, all, ., it, be, about, fall, so, wildly, in, love, with, he, –, the, way, one, will, at, twenty, -, four, –, that, it, feel, like, jump, off, a, roof, at, midnight, ., there, be, no, way, to, foresee, the, mess, it, would, come, to, in, the, end, ., it, be, spring, and, Lara, 's, three, grown, daughter, have, return, to, the, family, orchard, ., while, pick, cherry, ,, they, beg, their, mother, to, tell, they, the, one, story, they, have, always, long, to, hear, –, of, the, film, star, with, whom, she, share, a, stage, ,, and, a, romance, ,, year, before, ., Tom, Lake, be, a, meditation, on, youthful, love, ,, married, love, ,, and, the, life, parent, have, lead, before, their, child, be, bear, ., both, hopeful, and, elegiac, ,, it, explore, what, it, mean, to, be, happy, even, when, the, world, be, fall, apart, .","PROPN, PROPN, PUNCT, PRON, AUX, DET, NOUN, ADP, PROPN, PROPN, PRON, VERB, ADP, PART, AUX, DET, ADJ, NOUN, PUNCT, PRON, AUX, DET, NOUN, ADP, VERB, ADP, NOUN, ADP, PROPN, PROPN, PRON, AUX, PART, ADJ, ADV, ADV, PUNCT, PRON, AUX, ADP, VERB, ADV, ADV, ADP, NOUN, ADP, PRON, PUNCT, DET, NOUN, NUM, AUX, ADP, NUM, PUNCT, NUM, PUNCT, SCONJ, PRON, VERB, ADP, VERB, ADP, DET, NOUN, ADP, NOUN, PUNCT, PRON, VERB, DET, NOUN, PART, VERB, DET, NOUN, PRON, AUX, VERB, ADP, ADP, DET, NOUN, PUNCT, PRON, AUX, NOUN, CCONJ, PROPN, PART, NUM, ADJ, NOUN, AUX, VERB, ADP, DET, NOUN, NOUN, PUNCT, SCONJ, VERB, NOUN, PUNCT, PRON, VERB, PRON, NOUN, PART, VERB, PRON, DET, NUM, NOUN, PRON, AUX, ADV, VERB, PART, VERB, PUNCT, ADP, DET, NOUN, NOUN, ADP, PRON, PRON, VERB, DET, NOUN, PUNCT, CCONJ, DET, NOUN, PUNCT, NOUN, ADV, PUNCT, PROPN, PROPN, AUX, DET, NOUN, ADP, ADJ, NOUN, PUNCT, ADJ, NOUN, PUNCT, CCONJ, DET, NOUN, NOUN, AUX, VERB, SCONJ, PRON, NOUN, AUX, VERB, PUNCT, PRON, ADJ, CCONJ, ADJ, PUNCT, PRON, VERB, PRON, PRON, VERB, PART, AUX, ADJ, ADV, SCONJ, DET, NOUN, AUX, VERB, ADV, PUNCT"
All the Sinners Bleed,S.A. Cosby (Goodreads Author),"4.28 avg rating — 35,498 ratings","Mystery, Fiction, Thriller, Mystery Thriller, Crime","A Black sheriff. A serial killer. A small town ready to combust.Titus Crown is the first Black sheriff in the history of Charon County, Virginia. In recent decades, Charon has had only two murders. After years of working as an FBI agent, Titus knows better than anyone that while his hometown might seem like a land of moonshine, cornbread, and honeysuckle, secrets always fester under the surface.Then a year to the day after Titus’s election, a school teacher is killed by a former student and the student is fatally shot by Titus’s deputies. Those festering secrets are now out in the open and ready to tear the town apart.As Titus investigates the shootings, he unearths terrible crimes and a serial killer who has been hiding in plain sight, haunting the dirt lanes and woodland clearings of Charon. With the killer’s possible connections to a local church and the town’s harrowing history weighing on him, Titus projects confidence about closing the case while concealing a painful secret from his own past. At the same time, he also has to contend with a far-right group that wants to hold a parade in celebration of the town’s Confederate history.Powerful and unforgettable, All the Sinners Bleed confirms S. A. Cosby as “one of the most muscular, distinctive, grab-you-by-both-ears voices in American crime fiction” (The Washington Post).","All, the, Sinners, Bleed, ., A, Black, sheriff, ., A, serial, killer, ., A, small, town, ready, to, combust, ., Titus, Crown, is, the, first, Black, sheriff, in, the, history, of, Charon, County, ,, Virginia, ., In, recent, decades, ,, Charon, has, had, only, two, murders, ., After, years, of, working, as, an, FBI, agent, ,, Titus, knows, better, than, anyone, that, while, his, hometown, might, seem, like, a, land, of, moonshine, ,, cornbread, ,, and, honeysuckle, ,, secrets, always, fester, under, the, surface, ., Then, a, year, to, the, day, after, Titus, ’s, election, ,, a, school, teacher, is, killed, by, a, former, student, and, the, student, is, fatally, shot, by, Titus, ’s, deputies, ., Those, festering, secrets, are, now, out, in, the, open, and, ready, to, tear, the, town, apart, ., As, Titus, investigates, the, shootings, ,, he, unearths, terrible, crimes, and, a, serial, killer, who, has, been, hiding, in, plain, sight, ,, haunting, the, dirt, lanes, and, woodland, clearings, of, Charon, ., With, the, killer, ’s, possible, connections, to, a, local, church, and, the, town, ’s, harrowing, history, weighing, on, him, ,, Titus, projects, confidence, about, closing, the, case, while, concealing, a, painful, secret, from, his, own, past, ., At, the, same, time, ,, he, also, has, to, contend, with, a, far, -, right, group, that, wants, to, hold, a, parade, in, celebration, of, the, town, ’s, Confederate, history, ., Powerful, and, unforgettable, ,, All, the, Sinners, Bleed, confirms, S., A., Cosby, as, “, one, of, the, most, muscular, ,, distinctive, ,, grab, -, you, -, by, -, both, -, ears, voices, in, American, crime, fiction, ”, (, The, Washington, Post, ), .","all, the, Sinners, Bleed, ., a, black, sheriff, ., a, serial, killer, ., a, small, town, ready, to, combust, ., Titus, Crown, be, the, first, black, sheriff, in, the, history, of, Charon, County, ,, Virginia, ., in, recent, decade, ,, Charon, have, have, only, two, murder, ., after, year, of, work, as, an, FBI, agent, ,, Titus, know, well, than, anyone, that, while, his, hometown, might, seem, like, a, land, of, moonshine, ,, cornbread, ,, and, honeysuckle, ,, secret, always, fester, under, the, surface, ., then, a, year, to, the, day, after, Titus, ’s, election, ,, a, school, teacher, be, kill, by, a, former, student, and, the, student, be, fatally, shoot, by, Titus, ’s, deputy, ., those, fester, secret, be, now, out, in, the, open, and, ready, to, tear, the, town, apart, ., as, Titus, investigate, the, shooting, ,, he, unearth, terrible, crime, and, a, serial, killer, who, have, be, hide, in, plain, sight, ,, haunt, the, dirt, lane, and, woodland, clearing, of, Charon, ., with, the, killer, ’s, possible, connection, to, a, local, church, and, the, town, ’s, harrowing, history, weigh, on, he, ,, Titus, project, confidence, about, close, the, case, while, conceal, a, painful, secret, from, his, own, past, ., at, the, same, time, ,, he, also, have, to, contend, with, a, far, -, right, group, that, want, to, hold, a, parade, in, celebration, of, the, town, ’s, Confederate, history, ., powerful, and, unforgettable, ,, all, the, Sinners, Bleed, confirm, S., A., Cosby, as, "", one, of, the, most, muscular, ,, distinctive, ,, grab, -, you, -, by, -, both, -, ear, voice, in, american, crime, fiction, "", (, the, Washington, Post, ), .","DET, DET, PROPN, PROPN, PUNCT, DET, ADJ, NOUN, PUNCT, DET, ADJ, NOUN, PUNCT, DET, ADJ, NOUN, ADJ, PART, VERB, PUNCT, PROPN, PROPN, AUX, DET, ADJ, ADJ, NOUN, ADP, DET, NOUN, ADP, PROPN, PROPN, PUNCT, PROPN, PUNCT, ADP, ADJ, NOUN, PUNCT, PROPN, AUX, VERB, ADV, NUM, NOUN, PUNCT, ADP, NOUN, ADP, VERB, ADP, DET, PROPN, NOUN, PUNCT, PROPN, VERB, ADV, ADP, PRON, SCONJ, SCONJ, PRON, NOUN, AUX, VERB, ADP, DET, NOUN, ADP, NOUN, PUNCT, NOUN, PUNCT, CCONJ, NOUN, PUNCT, NOUN, ADV, ADJ, ADP, DET, NOUN, PUNCT, ADV, DET, NOUN, ADP, DET, NOUN, ADP, PROPN, PART, NOUN, PUNCT, DET, NOUN, NOUN, AUX, VERB, ADP, DET, ADJ, NOUN, CCONJ, DET, NOUN, AUX, ADV, VERB, ADP, PROPN, PART, NOUN, PUNCT, PRON, VERB, NOUN, AUX, ADV, ADV, ADP, DET, ADJ, CCONJ, ADJ, PART, VERB, DET, NOUN, ADV, PUNCT, SCONJ, PROPN, VERB, DET, NOUN, PUNCT, PRON, VERB, ADJ, NOUN, CCONJ, DET, ADJ, NOUN, PRON, AUX, AUX, VERB, ADP, ADJ, NOUN, PUNCT, VERB, DET, NOUN, NOUN, CCONJ, NOUN, NOUN, ADP, PROPN, PUNCT, ADP, DET, NOUN, PART, ADJ, NOUN, ADP, DET, ADJ, NOUN, CCONJ, DET, NOUN, PART, ADJ, NOUN, VERB, ADP, PRON, PUNCT, PROPN, VERB, NOUN, ADP, VERB, DET, NOUN, SCONJ, VERB, DET, ADJ, NOUN, ADP, PRON, ADJ, NOUN, PUNCT, ADP, DET, ADJ, NOUN, PUNCT, PRON, ADV, VERB, PART, VERB, ADP, DET, ADV, PUNCT, NOUN, NOUN, PRON, VERB, PART, VERB, DET, NOUN, ADP, NOUN, ADP, DET, NOUN, PART, PROPN, NOUN, PUNCT, ADJ, CCONJ, ADJ, PUNCT, DET, DET, PROPN, PROPN, VERB, PROPN, PROPN, PROPN, ADP, PUNCT, NUM, ADP, DET, ADV, ADJ, PUNCT, ADJ, PUNCT, NOUN, PUNCT, PRON, PUNCT, ADP, PUNCT, PRON, PUNCT, NOUN, NOUN, ADP, ADJ, NOUN, NOUN, PUNCT, PUNCT, DET, PROPN, PROPN, PUNCT, PUNCT"
The Bee Sting,Paul Murray,"4.08 avg rating — 12,774 ratings","Fiction, Ireland, Contemporary, Literary Fiction, Irish Literature","From the author of Skippy Dies comes Paul Murray's The Bee Sting, an irresistibly funny, wise, and thought-provoking tour de force about family, fortune, and the struggle to be a good person when the world is falling apart.The Barnes family is in trouble. Dickie’s once-lucrative car business is going under―but rather than face the music, he’s spending his days in the woods, building an apocalypse-proof bunker with a renegade handyman. His wife Imelda is selling off her jewelry on eBay, while their teenage daughter Cass, formerly top of her class, seems determined to binge-drink her way through her final exams. And twelve-year-old PJ is putting the final touches to his grand plan to run away from home.Where did it all go wrong? A patch of ice on the tarmac, a casual favor to a charming stranger, a bee caught beneath a bridal veil―can a single moment of bad luck change the direction of a life? And if the story has already been written―is there still time to find a happy ending?","The, Bee, Sting, ., From, the, author, of, Skippy, Dies, comes, Paul, Murray, 's, The, Bee, Sting, ,, an, irresistibly, funny, ,, wise, ,, and, thought, -, provoking, tour, de, force, about, family, ,, fortune, ,, and, the, struggle, to, be, a, good, person, when, the, world, is, falling, apart, ., The, Barnes, family, is, in, trouble, ., Dickie, ’s, once, -, lucrative, car, business, is, going, under―but, rather, than, face, the, music, ,, he, ’s, spending, his, days, in, the, woods, ,, building, an, apocalypse, -, proof, bunker, with, a, renegade, handyman, ., His, wife, Imelda, is, selling, off, her, jewelry, on, eBay, ,, while, their, teenage, daughter, Cass, ,, formerly, top, of, her, class, ,, seems, determined, to, binge, -, drink, her, way, through, her, final, exams, ., And, twelve, -, year, -, old, PJ, is, putting, the, final, touches, to, his, grand, plan, to, run, away, from, home, ., Where, did, it, all, go, wrong, ?, A, patch, of, ice, on, the, tarmac, ,, a, casual, favor, to, a, charming, stranger, ,, a, bee, caught, beneath, a, bridal, veil―can, a, single, moment, of, bad, luck, change, the, direction, of, a, life, ?, And, if, the, story, has, already, been, written―is, there, still, time, to, find, a, happy, ending, ?","the, Bee, Sting, ., from, the, author, of, Skippy, Dies, come, Paul, Murray, 's, the, Bee, Sting, ,, an, irresistibly, funny, ,, wise, ,, and, thought, -, provoke, tour, de, force, about, family, ,, fortune, ,, and, the, struggle, to, be, a, good, person, when, the, world, be, fall, apart, ., the, Barnes, family, be, in, trouble, ., Dickie, ’s, once, -, lucrative, car, business, be, go, under―but, rather, than, face, the, music, ,, he, ’s, spend, his, day, in, the, wood, ,, build, an, apocalypse, -, proof, bunker, with, a, renegade, handyman, ., his, wife, Imelda, be, sell, off, her, jewelry, on, eBay, ,, while, their, teenage, daughter, Cass, ,, formerly, top, of, her, class, ,, seem, determined, to, binge, -, drink, her, way, through, her, final, exam, ., and, twelve, -, year, -, old, pj, be, put, the, final, touch, to, his, grand, plan, to, run, away, from, home, ., where, do, it, all, go, wrong, ?, a, patch, of, ice, on, the, tarmac, ,, a, casual, favor, to, a, charming, stranger, ,, a, bee, catch, beneath, a, bridal, veil―can, a, single, moment, of, bad, luck, change, the, direction, of, a, life, ?, and, if, the, story, have, already, be, written―is, there, still, time, to, find, a, happy, ending, ?","DET, PROPN, PROPN, PUNCT, ADP, DET, NOUN, ADP, PROPN, PROPN, VERB, PROPN, PROPN, PART, DET, PROPN, PROPN, PUNCT, DET, ADV, ADJ, PUNCT, ADJ, PUNCT, CCONJ, NOUN, PUNCT, VERB, NOUN, X, NOUN, ADP, NOUN, PUNCT, NOUN, PUNCT, CCONJ, DET, NOUN, PART, AUX, DET, ADJ, NOUN, SCONJ, DET, NOUN, AUX, VERB, ADV, PUNCT, DET, PROPN, NOUN, AUX, ADP, NOUN, PUNCT, PROPN, PART, ADV, PUNCT, ADJ, NOUN, NOUN, AUX, VERB, ADV, ADV, ADP, VERB, DET, NOUN, PUNCT, PRON, AUX, VERB, PRON, NOUN, ADP, DET, NOUN, PUNCT, VERB, DET, NOUN, PUNCT, NOUN, NOUN, ADP, DET, NOUN, NOUN, PUNCT, PRON, NOUN, PROPN, AUX, VERB, ADP, PRON, NOUN, ADP, PROPN, PUNCT, SCONJ, PRON, ADJ, NOUN, PROPN, PUNCT, ADV, NOUN, ADP, PRON, NOUN, PUNCT, VERB, ADJ, AUX, NOUN, PUNCT, VERB, PRON, NOUN, ADP, PRON, ADJ, NOUN, PUNCT, CCONJ, NUM, PUNCT, NOUN, PUNCT, ADJ, NOUN, AUX, VERB, DET, ADJ, NOUN, ADP, PRON, ADJ, NOUN, PART, VERB, ADV, ADP, NOUN, PUNCT, SCONJ, AUX, PRON, PRON, VERB, ADJ, PUNCT, DET, NOUN, ADP, NOUN, ADP, DET, NOUN, PUNCT, DET, ADJ, NOUN, ADP, DET, ADJ, NOUN, PUNCT, DET, NOUN, VERB, ADP, DET, NOUN, PRON, DET, ADJ, NOUN, ADP, ADJ, NOUN, VERB, DET, NOUN, ADP, DET, NOUN, PUNCT, CCONJ, SCONJ, DET, NOUN, AUX, ADV, AUX, ADV, PRON, ADV, NOUN, PART, VERB, DET, ADJ, NOUN, PUNCT"
Biography of X,Catherine Lacey (Goodreads Author),"3.94 avg rating — 5,411 ratings","Fiction, LGBT, Literary Fiction, Queer, Contemporary","From one of our fiercest stylists, a roaring epic chronicling the life, times, and secrets of a notorious artist.When X—an iconoclastic artist, writer, and polarizing shape-shifter—falls dead in her office, her widow, wild with grief and refusing everyone’s good advice, hurls herself into writing a biography of the woman she deified. Though X was recognized as a crucial creative force of her era, she kept a tight grip on her life story. Not even CM, her wife, knew where X had been born, and in her quest to find out, she opens a Pandora’s box of secrets, betrayals, and destruction. All the while, she immerses herself in the history of the Southern Territory, a fascist theocracy that split from the rest of the country after World War II, as it is finally, in the present day, forced into an uneasy reunification. A masterfully constructed literary adventure complete with original images assembled by X’s widow, Biography of X follows a grieving wife seeking to understand the woman who enthralled her. CM traces X’s peripatetic trajectory over decades, from Europe to the ruins of America's divided territories, and through her collaborations and feuds with everyone from Bowie and Waits to Sontag and Acker. And when she finally understands the scope of X’s defining artistic project, CM realizes her wife’s deceptions were far crueler than she imagined.Pulsing with suspense and intellect while blending nonfiction and fiction, Biography of X is a roaring epic that plumbs the depths of grief, art, and love. In her most ambitious novel yet, Catherine Lacey, one of our most acclaimed literary innovators, pushes her craft to its highest level, introducing us to an unforgettable character who, in her tantalizing mystery, shows us the fallibility of the stories we craft for ourselves.","Biography, of, X., From, one, of, our, fiercest, stylists, ,, a, roaring, epic, chronicling, the, life, ,, times, ,, and, secrets, of, a, notorious, artist, ., When, X, —, an, iconoclastic, artist, ,, writer, ,, and, polarizing, shape, -, shifter, —, falls, dead, in, her, office, ,, her, widow, ,, wild, with, grief, and, refusing, everyone, ’s, good, advice, ,, hurls, herself, into, writing, a, biography, of, the, woman, she, deified, ., Though, X, was, recognized, as, a, crucial, creative, force, of, her, era, ,, she, kept, a, tight, grip, on, her, life, story, ., Not, even, CM, ,, her, wife, ,, knew, where, X, had, been, born, ,, and, in, her, quest, to, find, out, ,, she, opens, a, Pandora, ’s, box, of, secrets, ,, betrayals, ,, and, destruction, ., All, the, while, ,, she, immerses, herself, in, the, history, of, the, Southern, Territory, ,, a, fascist, theocracy, that, split, from, the, rest, of, the, country, after, World, War, II, ,, as, it, is, finally, ,, in, the, present, day, ,, forced, into, an, uneasy, reunification, ., A, masterfully, constructed, literary, adventure, complete, with, original, images, assembled, by, X, ’s, widow, ,, Biography, of, X, follows, a, grieving, wife, seeking, to, understand, the, woman, who, enthralled, her, ., CM, traces, X, ’s, peripatetic, trajectory, over, decades, ,, from, Europe, to, the, ruins, of, America, 's, divided, territories, ,, and, through, her, collaborations, and, feuds, with, everyone, from, Bowie, and, Waits, to, Sontag, and, Acker, ., And, when, she, finally, understands, the, scope, of, X, ’s, defining, artistic, project, ,, CM, realizes, her, wife, ’s, deceptions, were, far, crueler, than, she, imagined, ., Pulsing, with, suspense, and, intellect, while, blending, nonfiction, and, fiction, ,, Biography, of, X, is, a, roaring, epic, that, plumbs, the, depths, of, grief, ,, art, ,, and, love, ., In, her, most, ambitious, novel, yet, ,, Catherine, Lacey, ,, one, of, our, most, acclaimed, literary, innovators, ,, pushes, her, craft, to, its, highest, level, ,, introducing, us, to, an, unforgettable, character, who, ,, in, her, tantalizing, mystery, ,, shows, us, the, fallibility, of, the, stories, we, craft, for, ourselves, .","biography, of, X., from, one, of, our, fierce, stylist, ,, a, roar, epic, chronicle, the, life, ,, time, ,, and, secret, of, a, notorious, artist, ., when, X, —, an, iconoclastic, artist, ,, writer, ,, and, polarize, shape, -, shifter, —, fall, dead, in, her, office, ,, her, widow, ,, wild, with, grief, and, refuse, everyone, ’s, good, advice, ,, hurl, herself, into, write, a, biography, of, the, woman, she, deify, ., though, X, be, recognize, as, a, crucial, creative, force, of, her, era, ,, she, keep, a, tight, grip, on, her, life, story, ., not, even, CM, ,, her, wife, ,, know, where, X, have, be, bear, ,, and, in, her, quest, to, find, out, ,, she, open, a, Pandora, ’s, box, of, secret, ,, betrayal, ,, and, destruction, ., all, the, while, ,, she, immerse, herself, in, the, history, of, the, Southern, Territory, ,, a, fascist, theocracy, that, split, from, the, rest, of, the, country, after, World, War, II, ,, as, it, be, finally, ,, in, the, present, day, ,, force, into, an, uneasy, reunification, ., a, masterfully, construct, literary, adventure, complete, with, original, image, assemble, by, X, ’s, widow, ,, Biography, of, X, follow, a, grieve, wife, seek, to, understand, the, woman, who, enthral, she, ., CM, trace, X, ’s, peripatetic, trajectory, over, decade, ,, from, Europe, to, the, ruin, of, America, 's, divide, territory, ,, and, through, her, collaboration, and, feud, with, everyone, from, Bowie, and, Waits, to, sontag, and, Acker, ., and, when, she, finally, understand, the, scope, of, x, ’s, define, artistic, project, ,, CM, realize, her, wife, ’s, deception, be, far, cruel, than, she, imagine, ., pulse, with, suspense, and, intellect, while, blend, nonfiction, and, fiction, ,, Biography, of, X, be, a, roar, epic, that, plumb, the, depth, of, grief, ,, art, ,, and, love, ., in, her, most, ambitious, novel, yet, ,, Catherine, Lacey, ,, one, of, our, most, acclaimed, literary, innovator, ,, push, her, craft, to, its, high, level, ,, introduce, we, to, an, unforgettable, character, who, ,, in, her, tantalizing, mystery, ,, show, we, the, fallibility, of, the, story, we, craft, for, ourselves, .","NOUN, ADP, PROPN, ADP, NUM, ADP, PRON, ADJ, NOUN, PUNCT, DET, VERB, NOUN, VERB, DET, NOUN, PUNCT, NOUN, PUNCT, CCONJ, NOUN, ADP, DET, ADJ, NOUN, PUNCT, SCONJ, NOUN, PUNCT, DET, ADJ, NOUN, PUNCT, NOUN, PUNCT, CCONJ, VERB, NOUN, PUNCT, NOUN, PUNCT, VERB, ADJ, ADP, PRON, NOUN, PUNCT, PRON, NOUN, PUNCT, ADJ, ADP, NOUN, CCONJ, VERB, PRON, PART, ADJ, NOUN, PUNCT, VERB, PRON, ADP, VERB, DET, NOUN, ADP, DET, NOUN, PRON, VERB, PUNCT, SCONJ, PROPN, AUX, VERB, ADP, DET, ADJ, ADJ, NOUN, ADP, PRON, NOUN, PUNCT, PRON, VERB, DET, ADJ, NOUN, ADP, PRON, NOUN, NOUN, PUNCT, PART, ADV, PROPN, PUNCT, PRON, NOUN, PUNCT, VERB, SCONJ, PROPN, AUX, AUX, VERB, PUNCT, CCONJ, ADP, PRON, NOUN, PART, VERB, ADP, PUNCT, PRON, VERB, DET, PROPN, PART, PROPN, ADP, NOUN, PUNCT, NOUN, PUNCT, CCONJ, NOUN, PUNCT, DET, DET, NOUN, PUNCT, PRON, VERB, PRON, ADP, DET, NOUN, ADP, DET, PROPN, PROPN, PUNCT, DET, ADJ, NOUN, PRON, VERB, ADP, DET, NOUN, ADP, DET, NOUN, ADP, PROPN, PROPN, PROPN, PUNCT, SCONJ, PRON, AUX, ADV, PUNCT, ADP, DET, ADJ, NOUN, PUNCT, VERB, ADP, DET, ADJ, NOUN, PUNCT, DET, ADV, VERB, ADJ, NOUN, ADJ, ADP, ADJ, NOUN, VERB, ADP, PROPN, PART, NOUN, PUNCT, PROPN, ADP, PROPN, VERB, DET, VERB, NOUN, VERB, PART, VERB, DET, NOUN, PRON, VERB, PRON, PUNCT, PROPN, VERB, PROPN, PART, ADJ, NOUN, ADP, NOUN, PUNCT, ADP, PROPN, ADP, DET, NOUN, ADP, PROPN, PART, VERB, NOUN, PUNCT, CCONJ, ADP, PRON, NOUN, CCONJ, NOUN, ADP, PRON, ADP, PROPN, CCONJ, PROPN, ADP, NOUN, CCONJ, PROPN, PUNCT, CCONJ, SCONJ, PRON, ADV, VERB, DET, NOUN, ADP, NOUN, PART, VERB, ADJ, NOUN, PUNCT, PROPN, VERB, PRON, NOUN, PART, NOUN, AUX, ADV, ADJ, SCONJ, PRON, VERB, PUNCT, VERB, ADP, NOUN, CCONJ, NOUN, SCONJ, VERB, NOUN, CCONJ, NOUN, PUNCT, PROPN, ADP, PROPN, AUX, DET, VERB, NOUN, PRON, VERB, DET, NOUN, ADP, NOUN, PUNCT, NOUN, PUNCT, CCONJ, NOUN, PUNCT, ADP, PRON, ADV, ADJ, NOUN, ADV, PUNCT, PROPN, PROPN, PUNCT, NUM, ADP, PRON, ADV, ADJ, ADJ, NOUN, PUNCT, VERB, PRON, NOUN, ADP, PRON, ADJ, NOUN, PUNCT, VERB, PRON, ADP, DET, ADJ, NOUN, PRON, PUNCT, ADP, PRON, NOUN, NOUN, PUNCT, VERB, PRON, DET, NOUN, ADP, DET, NOUN, PRON, VERB, ADP, PRON, PUNCT"
